Packet No.,Sending Delay (ms)
0.0,0.0
1.0,0.16015625
2.0,0.28271484375
3.0,0.416015625
4.0,0.796875
5.0,0.9140625
6.0,1.02392578125
7.0,1.1298828125
8.0,1.23388671875
9.0,1.62158203125
10.0,1.8232421875
11.0,2.005859375
12.0,0.0
13.0,0.0
14.0,0.0419921875
15.0,0.48095703125
16.0,0.806640625
17.0,1.10302734375
18.0,1.419921875
19.0,1.69921875
20.0,2.03076171875
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.39111328125
28.0,0.57958984375
29.0,0.74951171875
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.373046875
38.0,0.70703125
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.18359375
44.0,0.48681640625
45.0,0.80712890625
46.0,1.25537109375
47.0,1.61669921875
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.1552734375
55.0,0.32177734375
56.0,0.4892578125
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.2890625
61.0,0.65966796875
62.0,1.0
63.0,1.47802734375
64.0,1.82275390625
65.0,2.1689453125
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.02587890625
70.0,0.3896484375
71.0,0.78271484375
72.0,1.16259765625
73.0,1.58447265625
74.0,2.0595703125
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.3388671875
80.0,0.529296875
81.0,0.7392578125
82.0,1.1240234375
83.0,1.31494140625
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.140625
89.0,0.560546875
90.0,0.8232421875
91.0,0.95361328125
92.0,1.39013671875
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.39892578125
98.0,0.6953125
99.0,1.01708984375
100.0,1.416015625
101.0,1.71533203125
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.26708984375
106.0,0.625
107.0,0.98681640625
108.0,1.44287109375
109.0,1.7958984375
110.0,2.15185546875
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0869140625
116.0,0.2177734375
117.0,0.35009765625
118.0,0.70458984375
119.0,0.89501953125
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.31884765625
126.0,0.51416015625
127.0,0.70703125
128.0,1.10009765625
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.01806640625
133.0,0.31689453125
134.0,0.77685546875
135.0,1.09814453125
136.0,1.40087890625
137.0,1.994140625
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.056640625
142.0,0.3486328125
143.0,0.81689453125
144.0,1.1005859375
145.0,1.37939453125
146.0,1.80908203125
147.0,2.08447265625
148.0,2.3427734375
149.0,0.0
150.0,0.0
151.0,0.0
152.0,0.0
153.0,0.01416015625
154.0,0.12548828125
155.0,0.37646484375
156.0,0.72607421875
157.0,0.9140625
158.0,0.0
159.0,0.0
160.0,0.0
161.0,0.0
162.0,0.4990234375
163.0,0.830078125
164.0,1.14013671875
165.0,1.6259765625
166.0,1.92138671875
167.0,0.0
168.0,0.0
169.0,0.0
170.0,0.18115234375
171.0,0.48974609375
172.0,0.8984375
173.0,1.201171875
174.0,1.54541015625
175.0,1.9990234375
176.0,0.0
177.0,0.0
178.0,0.0
179.0,0.072265625
180.0,0.451171875
181.0,0.61181640625
182.0,0.73583984375
183.0,0.8525390625
184.0,1.21484375
185.0,0.0
186.0,0.0
187.0,0.0
188.0,0.0
189.0,0.0
190.0,0.08203125
191.0,0.28271484375
192.0,0.45361328125
193.0,0.619140625
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0205078125
199.0,0.14453125
200.0,0.26171875
201.0,0.62841796875
202.0,0.75830078125
203.0,0.0
204.0,0.0
205.0,0.0
206.0,0.0
207.0,0.0
208.0,0.0
209.0,0.083984375
210.0,0.2568359375
211.0,0.4345703125
212.0,0.0
213.0,0.0
214.0,0.0
215.0,0.134765625
216.0,0.6083984375
217.0,0.91015625
218.0,1.216796875
219.0,1.6728515625
220.0,1.98974609375
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.29296875
226.0,0.63671875
227.0,1.00830078125
228.0,1.5029296875
229.0,1.859375
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0849609375
235.0,0.5400390625
236.0,0.90576171875
237.0,1.21533203125
238.0,1.69873046875
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.3134765625
244.0,0.74169921875
245.0,1.07177734375
246.0,1.3896484375
247.0,1.80078125
248.0,0.0
249.0,0.0
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.04150390625
273.0,0.32373046875
274.0,0.48193359375
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0517578125
282.0,0.185546875
283.0,0.30810546875
284.0,0.64501953125
285.0,0.74462890625
286.0,0.89404296875
287.0,0.99853515625
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.404296875
294.0,0.58203125
295.0,0.69677734375
296.0,0.80908203125
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.3134765625
305.0,0.48095703125
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.0
311.0,0.0
312.0,0.029296875
313.0,0.37744140625
314.0,0.548828125
315.0,0.0
316.0,0.0
317.0,0.0
318.0,0.0
319.0,0.0
320.0,0.0
321.0,0.0654296875
322.0,0.2509765625
323.0,0.458984375
324.0,0.57470703125
325.0,0.0
326.0,0.0
327.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.05908203125
332.0,0.228515625
333.0,0.39013671875
334.0,0.0
335.0,0.0
336.0,0.0
337.0,0.0
338.0,0.36767578125
339.0,0.716796875
340.0,1.0322265625
341.0,1.6181640625
342.0,1.9609375
343.0,2.20068359375
344.0,0.0
345.0,0.0
346.0,0.0
347.0,0.0
348.0,0.43310546875
349.0,0.7431640625
350.0,1.05029296875
351.0,1.462890625
352.0,1.662109375
353.0,0.0
354.0,0.0
355.0,0.0
356.0,0.0
357.0,0.0
358.0,0.01904296875
359.0,0.2021484375
360.0,0.37255859375
361.0,0.82177734375
362.0,0.95361328125
363.0,0.0
364.0,0.0
365.0,0.0
366.0,0.0
367.0,0.23681640625
368.0,0.5859375
369.0,0.9208984375
370.0,1.37744140625
371.0,1.7041015625
372.0,0.0
373.0,0.0
374.0,0.0
375.0,0.0
376.0,0.09326171875
377.0,0.39404296875
378.0,0.8037109375
379.0,1.10888671875
380.0,1.47021484375
381.0,1.8388671875
382.0,0.0
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.31689453125
387.0,0.6337890625
388.0,0.94921875
389.0,1.3798828125
390.0,1.80322265625
391.0,2.0400390625
392.0,0.0
393.0,0.0
394.0,0.0
395.0,0.0
396.0,0.29638671875
397.0,0.5888671875
398.0,0.90576171875
399.0,1.29248046875
400.0,1.509765625
401.0,1.861328125
402.0,2.23583984375
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.25537109375
408.0,0.58203125
409.0,0.93505859375
410.0,1.23779296875
411.0,1.5849609375
412.0,1.95263671875
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.28173828125
418.0,0.57763671875
419.0,0.8779296875
420.0,1.32568359375
421.0,1.5537109375
422.0,1.90625
423.0,2.2685546875
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.220703125
428.0,0.51953125
429.0,0.90771484375
430.0,1.2529296875
431.0,1.54736328125
432.0,1.927734375
433.0,2.3046875
434.0,2.57666015625
435.0,2.98095703125
436.0,3.263671875
437.0,3.68408203125
438.0,4.04541015625
439.0,4.2978515625
440.0,4.55126953125
441.0,4.9736328125
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.2890625
446.0,0.62255859375
447.0,1.099609375
448.0,1.39599609375
449.0,1.71484375
450.0,2.169921875
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.150390625
456.0,0.693359375
457.0,0.99560546875
458.0,1.33203125
459.0,1.775390625
460.0,2.13232421875
461.0,2.3642578125
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.38232421875
467.0,0.6845703125
468.0,0.9951171875
469.0,1.45654296875
470.0,1.69775390625
471.0,2.04248046875
472.0,2.48681640625
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.33447265625
478.0,0.6337890625
479.0,0.962890625
480.0,1.37255859375
481.0,1.591796875
482.0,1.94189453125
483.0,2.3515625
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.3056640625
492.0,0.419921875
493.0,0.63134765625
494.0,0.7626953125
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.17919921875
501.0,0.3603515625
502.0,0.580078125
503.0,0.71533203125
504.0,1.10693359375
505.0,1.22509765625
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.05419921875
510.0,0.3623046875
511.0,0.85791015625
512.0,1.171875
513.0,1.46875
514.0,1.9267578125
515.0,0.0
516.0,0.0
517.0,0.0
